aucsecode,aucsenm,catgorycode,catgorynewcode,catgorynewnm,catgorynm,cprinsttcode,cprinsttnewcode,cprmtccode,cpruseprdlstcode,cpruseprdlstnm,delngde,delngprut,delngqy,insttnewnm,insttnm,ledgno,rnum,sbidpric,shipmntsecode,shipmntsenm,sleseqn,stdfrmlcnewcode,stdfrmlcnewnm,stdmgnewcode,stdmgnewnm,stdmtcnewcode,stdmtcnewnm,stdprdlstcode,stdprdlstnewcode,stdprdlstnewnm,stdprdlstnm,stdqlitynewcode,stdqlitynewnm,stdspciescode,stdspciesnewcode,stdspciesnewnm,stdspciesnm,stdunitnewcode,stdunitnewnm,whsalmrktcode,whsalmrktnewcode,whsalmrktnewnm,whsalmrktnm
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150206,10,720,서울청과,서울청과,000000005103275,1,3500,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150206,10,185,서울청과,서울청과,000000005103276,2,2100,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,232000,,,20150206,10,760,서울청과,서울청과,000000005104176,3,4000,,,0000000001,105,그물망,1ZZ,기타,25300,강원도 평창군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,232000,,,20150206,10,190,서울청과,서울청과,000000005104177,4,2400,,,0000000001,105,그물망,1ZZ,기타,25300,강원도 평창군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150206,10,768,서울청과,서울청과,000000005105770,5,4400,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150206,10,192,서울청과,서울청과,000000005105771,6,2640,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150206,15,22,농협가락(공),농협가락(공),000000005108104,7,12000,,,0000000001,101,상자,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150206,15,13,농협가락(공),농협가락(공),000000005108105,8,14500,,,0000000001,101,상자,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150206,15,4,농협가락(공),농협가락(공),000000005108106,9,11500,,,0000000001,101,상자,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150206,15,16,농협가락(공),농협가락(공),000000005108107,10,16000,,,0000000001,101,상자,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
